,Area,Year,Value,pct_ch,log_value,logpct_ch
2365,Redbridge,2008,250000,0.0,12.429216196844383,0.0
2545,Redbridge,2009,230000,-7.9999999999999964,12.345834587905333,-0.6708517063225505
2725,Redbridge,2010,250000,8.695652173913038,12.429216196844383,0.675382521492196
2905,Redbridge,2011,250000,0.0,12.429216196844383,0.0
3085,Redbridge,2012,265000,6.000000000000005,12.487485104968359,0.46880597457761297
3265,Redbridge,2013,275000,3.7735849056603765,12.524526376648708,0.29662715405851525
3445,Redbridge,2014,300000,9.090909090909083,12.611537753638338,0.6947278832982962
3625,Redbridge,2015,350000,16.666666666666675,12.765688433465597,1.2222988412557978
3805,Redbridge,2016,390000,11.428571428571432,12.873902018105829,0.847690942828816
3985,Redbridge,2017,420000,7.692307692307687,12.948009990259552,0.5756449913126405
2186,Richmond upon Thames,2007,381000,,12.850554654108839,
2366,Richmond upon Thames,2008,375000,-1.5748031496062964,12.834681304952548,-0.12352267729716093
2546,Richmond upon Thames,2009,376425,0.38000000000000256,12.838474103191244,0.0295511680312055
2726,Richmond upon Thames,2010,400000,6.262867769143909,12.89921982609012,0.47315375963390416
2906,Richmond upon Thames,2011,420000,5.000000000000004,12.948009990259552,0.3782412023923154
3086,Richmond upon Thames,2012,430000,2.3809523809523725,12.971540487669746,0.1817306090116988
3266,Richmond upon Thames,2013,475000,10.465116279069765,13.071070083016778,0.7672920224212509
3446,Richmond upon Thames,2014,534995,12.63052631578947,13.190012680040079,0.9099683213988907
3626,Richmond upon Thames,2015,577750,7.991663473490407,13.266896528136627,0.5828944214200327
3806,Richmond upon Thames,2016,605000,4.716572912159234,13.312983737012978,0.34738500280460105
3986,Richmond upon Thames,2017,650000,7.438016528925617,13.38472764187182,0.538901768950395
2187,Southwark,2007,276000,,12.528156144699286,
2367,Southwark,2008,278000,0.7246376811594235,12.535376392672774,0.057632167815380164
2547,Southwark,2009,285000,2.517985611510798,12.560244459250788,0.19838308638702173
2727,Southwark,2010,314500,10.350877192982466,12.658739355122632,0.7841797680880447
2907,Southwark,2011,320000,1.748807631160565,12.676076274775909,0.13695613099309334
3087,Southwark,2012,332250,3.8281250000000044,12.713642976575493,0.29635907030898245
3267,Southwark,2013,350000,5.342362678705803,12.765688433465597,0.4093669846321424
3447,Southwark,2014,420000,19.999999999999996,12.948009990259552,1.4282156245956523
3627,Southwark,2015,475000,13.095238095238093,13.071070083016778,0.9504170358981989
3807,Southwark,2016,512750,7.947368421052636,13.147543675934626,0.5850599257149591
3987,Southwark,2017,530000,3.364212579229653,13.180632285528304,0.25167141794131265
2188,Sutton,2007,233000,,12.358793732547838,
2368,Sutton,2008,230000,-1.2875536480686733,12.345834587905333,-0.10485768209218538
2548,Sutton,2009,210000,-8.695652173913048,12.254862809699606,-0.7368621178097445
2728,Sutton,2010,235000,11.904761904761907,12.367340793126296,0.9178232769579742
2908,Sutton,2011,233000,-0.8510638297872353,12.358793732547838,-0.06910993010889044
3088,Sutton,2012,240000,3.0042918454935563,12.388394202324129,0.23950937621310953
3268,Sutton,2013,250000,4.166666666666674,12.429216196844383,0.3295180461128311
3448,Sutton,2014,285000,13.99999999999999,12.560244459250788,1.0541956977115907
3628,Sutton,2015,320250,12.368421052631584,12.67685721975898,0.928427475169924
3808,Sutton,2016,347500,8.508977361436386,12.758519943986984,0.6441874576035955
3988,Sutton,2017,367000,5.611510791366903,12.813117127036707,0.427927246180726
2189,Tower Hamlets,2007,290000,,12.577636201962656,
2369,Tower Hamlets,2008,289998,-0.0006896551724144828,12.577629305387152,-5.4832047879926904e-05
2549,Tower Hamlets,2009,290000,0.0006896599286987382,12.577636201962656,5.483207794476641e-05
2729,Tower Hamlets,2010,305000,5.1724137931034475,12.628067055589549,0.4009565296460238
2909,Tower Hamlets,2011,300000,-1.6393442622950838,12.611537753638338,-0.13089336537768226
3089,Tower Hamlets,2012,305000,1.6666666666666607,12.628067055589549,0.13106492066317088
3269,Tower Hamlets,2013,329000,7.868852459016384,12.70381302974751,0.5998223942312197
3449,Tower Hamlets,2014,385000,17.021276595744684,12.86099861326992,1.2373102717612605
3629,Tower Hamlets,2015,425000,10.389610389610393,12.959844447906553,0.7685704478238797
3809,Tower Hamlets,2016,470000,10.588235294117654,13.060487973686241,0.7765797358466386
3989,Tower Hamlets,2017,490000,4.255319148936176,13.102160670086809,0.31907457427722274
2190,Waltham Forest,2007,239000,,12.384218830913648,
2370,Waltham Forest,2008,231000,-3.347280334728031,12.35017298950393,-0.2749131121999593
2550,Waltham Forest,2009,211500,-8.441558441558438,12.261980277468469,-0.7141010260375613
2730,Waltham Forest,2010,230000,8.747044917257686,12.345834587905333,0.6838561842327229
2910,Waltham Forest,2011,232000,0.8695652173912993,12.354492650648448,0.07012942447484072
3090,Waltham Forest,2012,241500,4.094827586206895,12.394624752074764,0.32483811809309593
3270,Waltham Forest,2013,265000,9.730848861283636,12.487485104968359,0.7491985820551106
3450,Waltham Forest,2014,320000,20.75471698113207,12.676076274775909,1.510241399467338
3630,Waltham Forest,2015,372000,16.250000000000007,12.826649133255284,1.1878506819890333
3810,Waltham Forest,2016,422000,13.440860215053775,12.952760593018148,0.9831987953572208
3990,Waltham Forest,2017,445000,5.450236966824651,13.005829561148378,0.4097116421563074
2191,Wandsworth,2007,355000,,12.779873068457553,
2371,Wandsworth,2008,350000,-1.4084507042253502,12.765688433465597,-0.11099198650857955
2551,Wandsworth,2009,350000,0.0,12.765688433465597,0.0
2731,Wandsworth,2010,380000,8.571428571428562,12.84792653170257,0.6442120114837246
